name,cn_name,node_type,Lake Hit (Y/N),Landslide Hit (Y/N),Debris Flow Hit (Y/N)
Shelter_2773,月眉路三段108號,shelter,N,N,N
Shelter_2785,中正路120巷13號,shelter,N,N,N
Shelter_2829,池南路2段17號,shelter,N,N,N
Shelter_2857,光華二街200號,shelter,N,N,N
Shelter_2883,干城一街97巷1號,shelter,N,N,N
Shelter_2884,6鄰79號,shelter,N,N,N
Shelter_2893,南海三街71號,shelter,N,N,N
Shelter_2897,南華四街123號,shelter,N,N,N
Shelter_2902,慶豐路79號,shelter,N,N,N
Shelter_2903,永興七街86號,shelter,N,N,N
Shelter_2904,南海三街314號,shelter,N,N,N
Shelter_2931,9鄰53號,shelter,N,N,N
Shelter_2934,東海六街74號,shelter,N,N,N
Shelter_2942,仁里五街1號,shelter,N,N,N
Shelter_2945,中順街77號,shelter,N,N,N
Shelter_2946,福德街1號,shelter,N,N,N
Shelter_2951,文化七街64號,shelter,N,N,N
Shelter_2954,中正路210號,shelter,N,N,N
Shelter_2955,中原路531號,shelter,N,N,N
Shelter_2962,吉安路二段97號,shelter,N,N,N
Shelter_2963,成功街169號,shelter,N,N,N
Shelter_2965,中興路355巷7號,shelter,N,N,N
Shelter_2967,中山路三段99巷18號,shelter,N,N,N
Shelter_2970,慈惠一街30號,shelter,N,N,N
Shelter_2971,吉祥六街52巷9號,shelter,N,N,N
Shelter_2972,中華路298號,shelter,N,N,N
Shelter_2973,中原路666號,shelter,N,N,N
Shelter_2977,慈惠三街118號,shelter,N,N,N
Shelter_2979,慈惠三街136號,shelter,N,N,N
Shelter_2980,公園路53號,shelter,N,N,N
Shelter_2981,林政街7號,shelter,N,N,N
Shelter_2985,明義街107號,shelter,N,N,N
Shelter_3002,林森路252號,shelter,N,N,N
Shelter_3003,慶北一街237號,shelter,N,N,N
Shelter_3005,建國路161號,shelter,N,N,N
Shelter_3015,中山路418號,shelter,N,N,N
Shelter_3016,南華四街123號,shelter,N,N,N
Shelter_3027,新興路80號,shelter,N,N,N
Shelter_3029,太昌路488號,shelter,N,N,N
Shelter_3035,國盛二街22號,shelter,N,N,N
Shelter_3041,永興路20號,shelter,N,N,N
Shelter_3044,太昌路488號,shelter,N,N,N
Shelter_3049,中山路903號,shelter,N,N,N
Shelter_3054,介仁街176號,shelter,N,N,N
Shelter_3055,化道路40巷1號,shelter,N,N,N
Shelter_3056,裕祥路89號,shelter,N,N,N
Shelter_3059,府前路27號,shelter,N,N,N
Shelter_3060,介仁街67號,shelter,N,N,N
Shelter_3064,中山路1段200號,shelter,N,N,N
Shelter_3072,府前路29號,shelter,N,N,N
Shelter_3073,林園一街16號,shelter,N,N,N
Shelter_3074,嘉南路2巷13號,shelter,N,N,N
Shelter_3075,107號,shelter,N,N,N
Shelter_3076,民光483-1號,shelter,N,N,N
Shelter_3077,達固湖灣大路23號,shelter,N,N,N
Shelter_3079,6鄰嘉南一街43巷5號,shelter,N,N,N
Shelter_3092,中山路1段500巷15號,shelter,N,N,N
Shelter_3098,沙基拉雅街111號,shelter,N,N,N
Shelter_3115,民有2街29號,shelter,N,N,N
Shelter_3120,嘉里路163號,shelter,N,N,N
Shelter_3128,明潭街27號,shelter,N,N,N
Shelter_3129,北埔路13號,shelter,N,N,N
Shelter_3145,北埔路259號,shelter,N,N,N
Shelter_3152,19鄰民有街101號,shelter,N,N,N
Shelter_3154,民有街2號,shelter,N,N,N
Shelter_3160,光復路572號,shelter,N,N,N
Shelter_3161,大安街1號,shelter,N,N,N
Shelter_3162,樹林街57巷9號,shelter,N,N,N
Shelter_3184,廣安1街112號,shelter,N,N,N
Shelter_3185,119號,shelter,N,N,N
Shelter_3237,加灣106號,shelter,N,N,N
Shelter_3291,順安52-2號,shelter,N,N,N
Shelter_3334,草林158號,shelter,N,N,N
Shelter_3336,秀林路76號,shelter,N,N,N
Shelter_3357,仁愛路2巷172號,shelter,N,N,N
Shelter_3366,博愛路31號,shelter,N,N,N
Shelter_3371,博愛路66號,shelter,N,N,N
Shelter_3372,新興1街62號,shelter,N,N,N
Shelter_3416,97號,shelter,N,N,N
Shelter_3461,72號,shelter,N,N,N
Shelter_3761,三鄰108號,shelter,N,N,N
Node_X01,崇德管制站,bottleneck,N,N,N
Node_X02,和平車站路口,bottleneck,N,N,N
Node_X03,太魯閣大橋北端,bottleneck,N,N,N
Node_X04,大清水隧道口,bottleneck,N,N,N
Node_X05,和仁車站路口,bottleneck,N,N,N
Guangfu_Station,光復火車站,critical_infra,N,Y,N
Guangfu_Elementary,光復國小,shelter,N,Y,N
Guangfu_Township_Office,光復鄉公所,shelter,N,Y,N
Mataian_Hwy9_Bridge,台9線馬太鞍溪橋,bridge,N,Y,N
Foxu_Debris_Zone,佛祖街沉積區中心,critical_infra,N,Y,Y
